"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","EV","BsR","Off","Def","WAR","playerid"
"Jose Ramirez","Indians","58","254","17","45","46","10","12.2%","16.9%",".315",".294",".292",".386",".607",".415","163","88.7","1.9","21.5","1.7","3.4","13510"
"Freddie Freeman","Braves","60","262","13","51","53","2","17.2%","14.1%",".299",".366",".341",".462",".640",".456","187","92.4","-0.3","28.8","-1.3","3.4","5361"
"Mookie Betts","Dodgers","55","246","16","47","39","10","9.8%","15.4%",".269",".289",".292",".366",".562",".390","149","90.7","3.3","18.6","3.1","3.0","13611"
"Fernando Tatis Jr.","Padres","59","257","17","50","45","11","10.5%","23.7%",".295",".306",".277",".366",".571",".392","149","95.9","1.4","17.5","3.1","2.9","19709"
"Anthony Rendon","Angels","52","232","9","29","31","0","16.4%","13.4%",".212",".302",".286",".418",".497",".395","156","90.1","0.0","16.0","3.7","2.7","12861"
"Trea Turner","Nationals","59","259","12","46","41","12","8.5%","13.9%",".253",".353",".335",".394",".588",".413","157","90.5","2.4","21.4","-0.5","2.7","16252"
"Mike Yastrzemski","Giants","54","225","10","39","35","2","13.3%","24.4%",".271",".370",".297",".400",".568",".407","160","88.2","0.8","18.0","1.2","2.7","14854"
"Jose Abreu","White Sox","60","262","19","43","60","0","6.9%","22.5%",".300",".350",".317",".370",".617",".411","167","92.9","-1.0","20.5","-5.4","2.6","15676"
"Mike Trout","Angels","53","241","17","41","46","1","14.5%","23.2%",".322",".300",".281",".390",".603",".407","164","93.7","1.3","20.3","-2.4","2.6","10155"
"Manny Machado","Padres","60","254","16","44","47","6","10.2%","14.6%",".277",".297",".304",".370",".580",".391","148","90.2","-1.7","14.0","3.2","2.6","11493"
"Marcell Ozuna","Braves","60","267","18","38","56","0","14.2%","22.5%",".298",".391",".338",".431",".636",".444","179","93.0","-0.2","26.8","-7.8","2.5","10324"
"DJ LeMahieu","Yankees","50","216","10","41","27","3","8.3%","9.7%",".226",".370",".364",".421",".590",".429","177","91.3","0.7","21.1","-1.2","2.5","9874"
"Trevor Story","Rockies","59","259","11","41","28","15","9.3%","24.3%",".230",".354",".289",".355",".519",".370","117","89.9","4.0","9.6","6.3","2.5","12564"
"Juan Soto","Nationals","47","196","13","39","37","6","20.9%","14.3%",".344",".363",".351",".490",".695",".478","200","92.3","-0.5","24.7","-4.9","2.4","20123"
"Ronald Acuna Jr.","Braves","46","202","14","46","29","8","18.8%","29.7%",".331",".302",".250",".406",".581",".413","159","92.4","2.2","17.4","2.0","2.4","18401"
"Brandon Lowe","Rays","56","224","14","36","37","3","11.2%","25.9%",".285",".309",".269",".362",".554",".385","150","89.8","2.9","16.7","1.4","2.3","18882"
"Trent Grisham","Padres","59","252","10","42","26","10","12.3%","25.4%",".205",".310",".251",".352",".456",".349","121","88.3","-0.2","6.4","8.3","2.3","18564"
"Tim Anderson","White Sox","49","221","10","45","21","5","4.5%","22.6%",".207",".383",".322",".357",".529",".376","143","87.2","0.8","12.5","-0.1","2.2","15172"
